label,count
CO2 footprint,0.7
Carbohydrate (g),1.99
Fat (g),0.66
Protein (g),2.58
Fibre (g),1.66
Water (g),91.71
Alcohol (g),0
Ash (g),1.4
Monosaccharides (g),0.2
Disaccharides (g),0.7
Sucrose (g),0.7
Wholegrain total (g),0
Sugar total (g),2
Sum of saturated fatty acids (g),0.09
Fatty acids 4:0-10:0 (g),0
Fatty acid 12:0 (g),0
Fatty acid 14:0 (g),0
Fatty acid 16:0 (g),0.07
Fatty acid 18:0 (g),0
Fatty acid 20:0 (g),0
Sum of monounsaturated fatty acids (g),0.05
Fatty acid 16:1 (g),0
Fatty acid 18:1 (g),0.05
Sum of polyunsaturated fatty acids (g),0.32
Fatty acids 18:2 (g),0.13
Fatty acid 18:3 (g),0.17
Fatty acid 20:4 (g),0
EPA (Fatty acid 20:5) (g),0
DPA (Fatty acid 22:5) (g),0
DHA (Fatty acid 22:6) (g),0
Cholesterol (mg),0
Retinol (�g),0
Retinolequivalents (�g),118
Beta-carotene (�g),1424.00
Vitamin D (�g),0
Vitamin E (mg),0.43
Vitamin K (�g),0
Thiamin (mg),0.04
Riboflavin (mg),0.09
Vitamin C (mg),15
Niacin (mg),0.3
Niacinequivalents (mg),0.74
Vitamin B-6 (mg),0.07
Vitamin B-12 (�g),0
Folate (�g),97
Phosphorus (mg),52
Iodide (�g),0
Iron (mg),1.46
Calcium (mg),160
Potassium (mg),369
Magnesium (mg),47
Sodium (mg),27
Salt (g),0.07
Selenium (�g),0.3
Zinc (mg),0.47
Waste (e.g. peel) (%),0
