label,count
Carbohydrate (g),2.4
Fat (g),0.2
Protein (g),3.1
Fibre (g),1.5
Water (g),92
Monosaccharides (g),1
Disaccharides (g),0.2
Sucrose (g),0.2
Wholegrain total (g),0
Sugar total (g),0
Sum of saturated fatty acids (g),0.05
Sum of monounsaturated fatty acids (g),0
Sum of polyunsaturated fatty acids (g),0.11
Cholesterol (mg),0
Vitamin D (µg),0
Vitamin E (mg),1.98
Vitamin K (µg),0
Vitamin C (mg),33
Vitamin B-6 (mg),0.15
Vitamin B-12 (µg),0
Phosphorus (mg),52
Iodide (µg),4
Iron (mg),0.7
Potassium (mg),300
Magnesium (mg),18
Sodium (mg),2
Salt (g),0.01
Selenium (µg),0.2
Zinc (mg),0.9
