label,count
CO2 footprint,0.7
Carbohydrate (g),2.2
Fat (g),0.1
Protein (g),1.13
Fibre (g),2.35
Water (g),93.7
Alcohol (g),0
Ash (g),0.52
Monosaccharides (g),2.4
Disaccharides (g),0.2
Sucrose (g),0.2
Wholegrain total (g),0
Sugar total (g),0
Sum of saturated fatty acids (g),0.02
Fatty acids 4:0-10:0 (g),0
Fatty acid 12:0 (g),0
Fatty acid 14:0 (g),0
Fatty acid 16:0 (g),0.01
Fatty acid 18:0 (g),0
Fatty acid 20:0 (g),0
Sum of monounsaturated fatty acids (g),0.01
Fatty acid 16:1 (g),0
Fatty acid 18:1 (g),0.01
Sum of polyunsaturated fatty acids (g),0.04
Fatty acids 18:2 (g),0.03
Fatty acid 18:3 (g),0.01
Fatty acid 20:4 (g),0
EPA (Fatty acid 20:5) (g),0
DPA (Fatty acid 22:5) (g),0
DHA (Fatty acid 22:6) (g),0
Cholesterol (mg),0
Retinol (�g),0
Retinolequivalents (�g),2.6
Beta-carotene (�g),31
Vitamin D (�g),0
Vitamin E (mg),0.09
Vitamin K (�g),5.5
Thiamin (mg),0.02
Riboflavin (mg),0
Vitamin C (mg),3.3
Niacin (mg),0.58
Niacinequivalents (mg),0.8
Vitamin B-6 (mg),0.04
Vitamin B-12 (�g),0
Folate (�g),21.3
Phosphorus (mg),24
Iodide (�g),0
Iron (mg),0.21
Calcium (mg),10
Potassium (mg),210
Magnesium (mg),14
Sodium (mg),2
Salt (g),0.01
Selenium (�g),0
Zinc (mg),0.16
Waste (e.g. peel) (%),19
