label,count
CO2 footprint,1.13
Carbohydrate (g),22
Fat (g),0.5
Protein (g),1
Fibre (g),1.7
Water (g),74
Alcohol (g),0
Ash (g),0.8
Monosaccharides (g),7.1
Disaccharides (g),6.4
Sucrose (g),6.4
Wholegrain total (g),0
Sugar total (g),0
Sum of saturated fatty acids (g),0.23
Fatty acids 4:0-10:0 (g),0.01
Fatty acid 12:0 (g),0
Fatty acid 14:0 (g),0
Fatty acid 16:0 (g),0.15
Fatty acid 18:0 (g),0.01
Fatty acid 20:0 (g),0
Sum of monounsaturated fatty acids (g),0.05
Fatty acid 16:1 (g),0.01
Fatty acid 18:1 (g),0.03
Sum of polyunsaturated fatty acids (g),0.11
Fatty acids 18:2 (g),0.07
Fatty acid 18:3 (g),0.04
Fatty acid 20:4 (g),0
EPA (Fatty acid 20:5) (g),0
DPA (Fatty acid 22:5) (g),0
DHA (Fatty acid 22:6) (g),0
Cholesterol (mg),0
Retinol (�g),0
Retinolequivalents (�g),1.2
Beta-carotene (�g),14
Vitamin D (�g),0
Vitamin E (mg),0.55
Vitamin K (�g),0
Thiamin (mg),0.04
Riboflavin (mg),0.1
Vitamin C (mg),9
Niacin (mg),0.5
Niacinequivalents (mg),0.67
Vitamin B-6 (mg),0.58
Vitamin B-12 (�g),0
Folate (�g),19
Phosphorus (mg),20
Iodide (�g),0.4
Iron (mg),0.4
Calcium (mg),6
Potassium (mg),395
Magnesium (mg),33
Sodium (mg),1
Salt (g),0
Selenium (�g),0.5
Zinc (mg),0.2
Waste (e.g. peel) (%),37
