label,count
CO2 footprint,3.1
Carbohydrate (g),76.7
Fat (g),1
Protein (g),9.2
Fibre (g),0.5
Water (g),12
Alcohol (g),0
Ash (g),0.64
Monosaccharides (g),0
Disaccharides (g),0.2
Sucrose (g),0.2
Wholegrain total (g),0
Sugar total (g),0
Sum of saturated fatty acids (g),0.18
Fatty acids 4:0-10:0 (g),0
Fatty acid 12:0 (g),0
Fatty acid 14:0 (g),0
Fatty acid 16:0 (g),0.15
Fatty acid 18:0 (g),0.01
Fatty acid 20:0 (g),0.01
Sum of monounsaturated fatty acids (g),0.33
Fatty acid 16:1 (g),0
Fatty acid 18:1 (g),0.32
Sum of polyunsaturated fatty acids (g),0.34
Fatty acids 18:2 (g),0.33
Fatty acid 18:3 (g),0.01
Fatty acid 20:4 (g),0
EPA (Fatty acid 20:5) (g),0
DPA (Fatty acid 22:5) (g),0
DHA (Fatty acid 22:6) (g),0
Cholesterol (mg),0
Retinol (�g),0
Retinolequivalents (�g),0
Beta-carotene (�g),0
Vitamin D (�g),0
Vitamin E (mg),0
Vitamin K (�g),0
Thiamin (mg),0.14
Riboflavin (mg),0.05
Vitamin C (mg),0
Niacin (mg),1.3
Niacinequivalents (mg),2.8
Vitamin B-6 (mg),0.42
Vitamin B-12 (�g),0
Folate (�g),9
Phosphorus (mg),101
Iodide (�g),0
Iron (mg),0.4
Calcium (mg),18
Potassium (mg),76
Magnesium (mg),26
Sodium (mg),0
Salt (g),0
Selenium (�g),14
Zinc (mg),1.5
Waste (e.g. peel) (%),0
