label,count
CO2 footprint,0.23
Carbohydrate (g),2.5
Fat (g),0.1
Protein (g),1
Fibre (g),1.6
Water (g),94
Alcohol (g),0
Ash (g),0.8
Monosaccharides (g),2
Disaccharides (g),0.2
Sucrose (g),0.2
Wholegrain total (g),0
Sugar total (g),0
Sum of saturated fatty acids (g),0.02
Fatty acids 4:0-10:0 (g),0
Fatty acid 12:0 (g),0
Fatty acid 14:0 (g),0
Fatty acid 16:0 (g),0.02
Fatty acid 18:0 (g),0
Fatty acid 20:0 (g),0
Sum of monounsaturated fatty acids (g),0.01
Fatty acid 16:1 (g),0
Fatty acid 18:1 (g),0.01
Sum of polyunsaturated fatty acids (g),0.05
Fatty acids 18:2 (g),0.01
Fatty acid 18:3 (g),0.04
Fatty acid 20:4 (g),0
EPA (Fatty acid 20:5) (g),0
DPA (Fatty acid 22:5) (g),0
DHA (Fatty acid 22:6) (g),0
Cholesterol (mg),0
Retinol (�g),0
Retinolequivalents (�g),1.7
Beta-carotene (�g),20
Vitamin D (�g),0
Vitamin E (mg),0
Vitamin K (�g),0
Thiamin (mg),0.05
Riboflavin (mg),0.04
Vitamin C (mg),20
Niacin (mg),0.4
Niacinequivalents (mg),0.57
Vitamin B-6 (mg),0.11
Vitamin B-12 (�g),0
Folate (�g),24
Phosphorus (mg),29
Iodide (�g),0
Iron (mg),0.6
Calcium (mg),50
Potassium (mg),350
Magnesium (mg),9
Sodium (mg),9
Salt (g),0.02
Selenium (�g),0.1
Zinc (mg),0.2
Waste (e.g. peel) (%),10
