label,count
Carbohydrate (g),6.99
Fat (g),1.01
Protein (g),1.37
Fibre (g),2.44
Water (g),86.22
Monosaccharides (g),6.28
Disaccharides (g),1.4
Sucrose (g),1.4
Wholegrain total (g),0
Sugar total (g),0
Sum of saturated fatty acids (g),0.12
Sum of monounsaturated fatty acids (g),0.53
Sum of polyunsaturated fatty acids (g),0.3
Cholesterol (mg),0
Vitamin D (µg),0.02
Vitamin E (mg),0.25
Vitamin K (µg),0
Vitamin C (mg),15.6
Vitamin B-6 (mg),0.1
Vitamin B-12 (µg),0.01
Phosphorus (mg),28.4
Iodide (µg),0
Iron (mg),0.28
Potassium (mg),176.3
Magnesium (mg),12.4
Sodium (mg),509.7
Salt (g),1.28
Selenium (µg),0.06
Zinc (mg),0.13
