label,count
Carbohydrate (g),4.7
Fat (g),0.3
Protein (g),3.4
Fibre (g),4.2
Water (g),86
Monosaccharides (g),2
Disaccharides (g),0.6
Sucrose (g),0.6
Wholegrain total (g),0
Sugar total (g),0
Sum of saturated fatty acids (g),0.05
Sum of monounsaturated fatty acids (g),0.01
Sum of polyunsaturated fatty acids (g),0.18
Cholesterol (mg),0
Vitamin D (µg),0
Vitamin E (mg),0.88
Vitamin K (µg),0
Vitamin C (mg),85
Vitamin B-6 (mg),0.22
Vitamin B-12 (µg),0
Phosphorus (mg),69
Iodide (µg),0.3
Iron (mg),1.4
Potassium (mg),390
Magnesium (mg),23
Sodium (mg),7
Salt (g),0.02
Selenium (µg),1
Zinc (mg),0.5
