label,count
Carbohydrate (g),4.7
Fat (g),0.1
Protein (g),1.13
Fibre (g),2.58
Water (g),90.8
Monosaccharides (g),5.3
Disaccharides (g),0.4
Sucrose (g),0.4
Wholegrain total (g),0
Sugar total (g),0
Sum of saturated fatty acids (g),0.02
Sum of monounsaturated fatty acids (g),0
Sum of polyunsaturated fatty acids (g),0.06
Cholesterol (mg),0
Vitamin D (µg),0
Vitamin E (mg),0.03
Vitamin K (µg),44
Vitamin C (mg),46.2
Vitamin B-6 (mg),0.17
Vitamin B-12 (µg),0
Phosphorus (mg),24
Iodide (µg),0.7
Iron (mg),0.21
Potassium (mg),240
Magnesium (mg),11
Sodium (mg),7
Salt (g),0.02
Selenium (µg),0
Zinc (mg),0.12
