label,count
Carbohydrate (g),6.6
Fat (g),0.24
Protein (g),0.69
Fibre (g),2.42
Water (g),89.45
Monosaccharides (g),3.2
Disaccharides (g),3.05
Sucrose (g),3.05
Wholegrain total (g),0
Sugar total (g),0
Sum of saturated fatty acids (g),0.05
Sum of monounsaturated fatty acids (g),0
Sum of polyunsaturated fatty acids (g),0.14
Cholesterol (mg),0
Vitamin D (�g),0
Vitamin E (mg),0.57
Vitamin K (�g),8
Vitamin C (mg),4.9
Vitamin B-6 (mg),0.14
Vitamin B-12 (�g),0
Phosphorus (mg),23
Iodide (�g),3
Iron (mg),0.19
Potassium (mg),210
Magnesium (mg),8
Sodium (mg),31
Salt (g),0.08
Selenium (�g),0
Zinc (mg),0.16
