label,count
Carbohydrate (g),2.6
Fat (g),0.17
Protein (g),1.94
Fibre (g),2.33
Water (g),92.2
Monosaccharides (g),2.1
Disaccharides (g),0.6
Sucrose (g),0.6
Wholegrain total (g),0
Sugar total (g),0
Sum of saturated fatty acids (g),0.04
Sum of monounsaturated fatty acids (g),0.01
Sum of polyunsaturated fatty acids (g),0.08
Cholesterol (mg),0
Vitamin D (�g),0
Vitamin E (mg),0.1
Vitamin K (�g),27.3
Vitamin C (mg),79.1
Vitamin B-6 (mg),0.18
Vitamin B-12 (�g),0
Phosphorus (mg),43
Iodide (�g),0.8
Iron (mg),0.34
Potassium (mg),340
Magnesium (mg),11
Sodium (mg),6
Salt (g),0.02
Selenium (�g),0
Zinc (mg),0.25
