label,count
CO2 footprint,0.25
Carbohydrate (g),4.4
Fat (g),0.5
Protein (g),1.01
Fibre (g),3.1
Water (g),90
Alcohol (g),0
Ash (g),1.03
Monosaccharides (g),0
Disaccharides (g),2.4
Sucrose (g),2.4
Wholegrain total (g),0
Sugar total (g),0
Sum of saturated fatty acids (g),0.12
Fatty acids 4:0-10:0 (g),0
Fatty acid 12:0 (g),0
Fatty acid 14:0 (g),0
Fatty acid 16:0 (g),0.09
Fatty acid 18:0 (g),0
Fatty acid 20:0 (g),0.01
Sum of monounsaturated fatty acids (g),0.02
Fatty acid 16:1 (g),0.02
Fatty acid 18:1 (g),0.24
Sum of polyunsaturated fatty acids (g),0.26
Fatty acids 18:2 (g),0.03
Fatty acid 18:3 (g),0
Fatty acid 20:4 (g),0
EPA (Fatty acid 20:5) (g),0
DPA (Fatty acid 22:5) (g),0
DHA (Fatty acid 22:6) (g),0
Cholesterol (mg),0
Retinol (�g),0
Retinolequivalents (�g),0.2
Beta-carotene (�g),2
Vitamin D (�g),0
Vitamin E (mg),0.2
Vitamin K (�g),0.8
Thiamin (mg),0.05
Riboflavin (mg),0.05
Vitamin C (mg),9.2
Niacin (mg),0.56
Niacinequivalents (mg),0.7
Vitamin B-6 (mg),0.22
Vitamin B-12 (�g),0
Folate (�g),58.8
Phosphorus (mg),60
Iodide (�g),0
Iron (mg),0.34
Calcium (mg),31.5
Potassium (mg),296
Magnesium (mg),11.7
Sodium (mg),45
Salt (g),0.11
Selenium (�g),0
Zinc (mg),0.34
Waste (e.g. peel) (%),25
