label,count
CO2 footprint,0.92
Carbohydrate (g),21.1
Fat (g),0.4
Protein (g),1.3
Fibre (g),2.4
Water (g),74
Alcohol (g),0
Ash (g),0.8
Monosaccharides (g),11.2
Disaccharides (g),0.5
Sucrose (g),0.5
Wholegrain total (g),0
Sugar total (g),0
Sum of saturated fatty acids (g),0
Fatty acids 4:0-10:0 (g),0
Fatty acid 12:0 (g),0
Fatty acid 14:0 (g),0
Fatty acid 16:0 (g),0
Fatty acid 18:0 (g),0
Fatty acid 20:0 (g),0
Sum of monounsaturated fatty acids (g),0
Fatty acid 16:1 (g),0
Fatty acid 18:1 (g),0
Sum of polyunsaturated fatty acids (g),0
Fatty acids 18:2 (g),0
Fatty acid 18:3 (g),0
Fatty acid 20:4 (g),0
EPA (Fatty acid 20:5) (g),0
DPA (Fatty acid 22:5) (g),0
DHA (Fatty acid 22:6) (g),0
Cholesterol (mg),0
Retinol (�g),0
Retinolequivalents (�g),0.5
Beta-carotene (�g),6
Vitamin D (�g),0
Vitamin E (mg),0.1
Vitamin K (�g),0
Thiamin (mg),0.1
Riboflavin (mg),0.11
Vitamin C (mg),9
Niacin (mg),1.3
Niacinequivalents (mg),1.52
Vitamin B-6 (mg),0.05
Vitamin B-12 (�g),0
Folate (�g),5
Phosphorus (mg),40
Iodide (�g),0
Iron (mg),0.5
Calcium (mg),23
Potassium (mg),113
Magnesium (mg),14
Sodium (mg),1
Salt (g),0
Selenium (�g),1
Zinc (mg),0.1
Waste (e.g. peel) (%),35
