label,count
CO2 footprint,11.9
Carbohydrate (g),4.4
Fat (g),0.13
Protein (g),0.81
Fibre (g),1.5
Water (g),92.5
Alcohol (g),0
Ash (g),0.64
Monosaccharides (g),4.1
Disaccharides (g),0
Sucrose (g),0
Wholegrain total (g),0
Sugar total (g),0
Sum of saturated fatty acids (g),0.02
Fatty acids 4:0-10:0 (g),0
Fatty acid 12:0 (g),0
Fatty acid 14:0 (g),0
Fatty acid 16:0 (g),0.02
Fatty acid 18:0 (g),0
Fatty acid 20:0 (g),0
Sum of monounsaturated fatty acids (g),0.02
Fatty acid 16:1 (g),0
Fatty acid 18:1 (g),0.01
Sum of polyunsaturated fatty acids (g),0.06
Fatty acids 18:2 (g),0.06
Fatty acid 18:3 (g),0.01
Fatty acid 20:4 (g),0
EPA (Fatty acid 20:5) (g),0
DPA (Fatty acid 22:5) (g),0
DHA (Fatty acid 22:6) (g),0
Cholesterol (mg),0
Retinol (�g),0
Retinolequivalents (�g),80.4
Beta-carotene (�g),965
Vitamin D (�g),0
Vitamin E (mg),0.95
Vitamin K (�g),6.1
Thiamin (mg),0.05
Riboflavin (mg),0.03
Vitamin C (mg),33.7
Niacin (mg),0.87
Niacinequivalents (mg),1
Vitamin B-6 (mg),0.14
Vitamin B-12 (�g),0
Folate (�g),25.7
Phosphorus (mg),37
Iodide (�g),0.2
Iron (mg),0.44
Calcium (mg),11
Potassium (mg),320
Magnesium (mg),14
Sodium (mg),3
Salt (g),0.01
Selenium (�g),0
Zinc (mg),0.13
Waste (e.g. peel) (%),0
