label,count
Carbohydrate (g),0
Fat (g),3.1
Protein (g),21.5
Fibre (g),0
Water (g),74.4
Monosaccharides (g),0
Disaccharides (g),0
Sucrose (g),0
Wholegrain total (g),0
Sugar total (g),0
Sum of saturated fatty acids (g),0.83
Sum of monounsaturated fatty acids (g),1.24
Sum of polyunsaturated fatty acids (g),0.38
Cholesterol (mg),70
Vitamin D (µg),0.4
Vitamin E (mg),1.1
Vitamin K (µg),0
Vitamin C (mg),0
Vitamin B-6 (mg),0.43
Vitamin B-12 (µg),0.4
Phosphorus (mg),173
Iodide (µg),0.4
Iron (mg),0.9
Potassium (mg),230
Magnesium (mg),25
Sodium (mg),77
Salt (g),0.19
Selenium (µg),11.2
Zinc (mg),1.5
