label,count
CO2 footprint,4.7
Carbohydrate (g),0
Fat (g),0.5
Protein (g),18.19
Fibre (g),0
Water (g),81
Alcohol (g),0
Ash (g),1.1
Monosaccharides (g),0
Disaccharides (g),0
Sucrose (g),0
Wholegrain total (g),0
Sugar total (g),0
Sum of saturated fatty acids (g),0.08
Fatty acids 4:0-10:0 (g),0
Fatty acid 12:0 (g),0
Fatty acid 14:0 (g),0
Fatty acid 16:0 (g),0.06
Fatty acid 18:0 (g),0.01
Fatty acid 20:0 (g),0
Sum of monounsaturated fatty acids (g),0.05
Fatty acid 16:1 (g),0.01
Fatty acid 18:1 (g),0.04
Sum of polyunsaturated fatty acids (g),0.21
Fatty acids 18:2 (g),0.01
Fatty acid 18:3 (g),0
Fatty acid 20:4 (g),0.01
EPA (Fatty acid 20:5) (g),0.03
DPA (Fatty acid 22:5) (g),0.01
DHA (Fatty acid 22:6) (g),0.15
Cholesterol (mg),48.4
Retinol (�g),2.3
Retinolequivalents (�g),2.3
Beta-carotene (�g),0
Vitamin D (�g),1.84
Vitamin E (mg),0.67
Vitamin K (�g),0
Thiamin (mg),0.05
Riboflavin (mg),0.05
Vitamin C (mg),0
Niacin (mg),2.16
Niacinequivalents (mg),5.5
Vitamin B-6 (mg),0.14
Vitamin B-12 (�g),1.41
Folate (�g),14
Phosphorus (mg),217
Iodide (�g),180
Iron (mg),0.12
Calcium (mg),12
Potassium (mg),402
Magnesium (mg),27
Sodium (mg),59
Salt (g),0.15
Selenium (�g),27.3
Zinc (mg),0.6
Waste (e.g. peel) (%),34
