label,count
CO2 footprint,4.02
Carbohydrate (g),0.3
Fat (g),0
Protein (g),0
Fibre (g),0
Water (g),99.4
Alcohol (g),0
Ash (g),0.1
Monosaccharides (g),0
Disaccharides (g),0
Sucrose (g),0
Wholegrain total (g),0
Sugar total (g),0
Sum of saturated fatty acids (g),0
Fatty acids 4:0-10:0 (g),0
Fatty acid 12:0 (g),0
Fatty acid 14:0 (g),0
Fatty acid 16:0 (g),0
Fatty acid 18:0 (g),0
Fatty acid 20:0 (g),0
Sum of monounsaturated fatty acids (g),0
Fatty acid 16:1 (g),0
Fatty acid 18:1 (g),0
Sum of polyunsaturated fatty acids (g),0
Fatty acids 18:2 (g),0
Fatty acid 18:3 (g),0
Fatty acid 20:4 (g),0
EPA (Fatty acid 20:5) (g),0
DPA (Fatty acid 22:5) (g),0
DHA (Fatty acid 22:6) (g),0
Cholesterol (mg),0
Retinol (�g),0
Retinolequivalents (�g),0
Beta-carotene (�g),0
Vitamin D (�g),0
Vitamin E (mg),0
Vitamin K (�g),0
Thiamin (mg),0
Riboflavin (mg),0
Vitamin C (mg),0
Niacin (mg),0.64
Niacinequivalents (mg),0.6
Vitamin B-6 (mg),0
Vitamin B-12 (�g),0
Folate (�g),0.1
Phosphorus (mg),6.4
Iodide (�g),3
Iron (mg),0.01
Calcium (mg),3.1
Potassium (mg),102
Magnesium (mg),8.4
Sodium (mg),4.3
Salt (g),0.01
Selenium (�g),0
Zinc (mg),0.02
Waste (e.g. peel) (%),0
