label,count
CO2 footprint,2.6
Carbohydrate (g),3
Fat (g),40
Protein (g),2.11
Fibre (g),0
Water (g),54.4
Alcohol (g),0
Ash (g),0.48
Monosaccharides (g),0
Disaccharides (g),2.69
Sucrose (g),0
Wholegrain total (g),0
Sugar total (g),0
Sum of saturated fatty acids (g),25.63
Fatty acids 4:0-10:0 (g),2.91
Fatty acid 12:0 (g),1.29
Fatty acid 14:0 (g),4.16
Fatty acid 16:0 (g),12.44
Fatty acid 18:0 (g),4.04
Fatty acid 20:0 (g),0.08
Sum of monounsaturated fatty acids (g),9.98
Fatty acid 16:1 (g),0.83
Fatty acid 18:1 (g),8.66
Sum of polyunsaturated fatty acids (g),0.95
Fatty acids 18:2 (g),0.6
Fatty acid 18:3 (g),0.26
Fatty acid 20:4 (g),0.04
EPA (Fatty acid 20:5) (g),0
DPA (Fatty acid 22:5) (g),0.04
DHA (Fatty acid 22:6) (g),0
Cholesterol (mg),114.3
Retinol (�g),344.5
Retinolequivalents (�g),369.3
Beta-carotene (�g),298
Vitamin D (�g),0.09
Vitamin E (mg),1.02
Vitamin K (�g),11.7
Thiamin (mg),0.03
Riboflavin (mg),0.09
Vitamin C (mg),0.4
Niacin (mg),0.04
Niacinequivalents (mg),0.5
Vitamin B-6 (mg),0.03
Vitamin B-12 (�g),0.36
Folate (�g),8.9
Phosphorus (mg),63
Iodide (�g),7.3
Iron (mg),0.04
Calcium (mg),75
Potassium (mg),100
Magnesium (mg),7
Sodium (mg),24
Salt (g),0.06
Selenium (�g),1.29
Zinc (mg),0.3
Waste (e.g. peel) (%),0
