label,count
Carbohydrate (g),3.7
Fat (g),0.2
Protein (g),0.81
Fibre (g),1.23
Water (g),93.35
Monosaccharides (g),3.65
Disaccharides (g),0
Sucrose (g),0
Wholegrain total (g),0
Sugar total (g),0
Sum of saturated fatty acids (g),0.04
Sum of monounsaturated fatty acids (g),0.02
Sum of polyunsaturated fatty acids (g),0.1
Cholesterol (mg),0
Vitamin D (µg),0
Vitamin E (mg),1.64
Vitamin K (µg),3.5
Vitamin C (mg),15
Vitamin B-6 (mg),0.13
Vitamin B-12 (µg),0
Phosphorus (mg),22
Iodide (µg),0
Iron (mg),0.57
Potassium (mg),295
Magnesium (mg),12.5
Sodium (mg),15.5
Salt (g),0.04
Selenium (µg),0
Zinc (mg),0.13
