label,count
CO2 footprint,1.12
Carbohydrate (g),2.3
Fat (g),0.05
Protein (g),0.81
Fibre (g),0
Water (g),96.5
Alcohol (g),0
Ash (g),0.38
Monosaccharides (g),1.7
Disaccharides (g),0
Sucrose (g),0
Wholegrain total (g),0
Sugar total (g),0
Sum of saturated fatty acids (g),0.02
Fatty acids 4:0-10:0 (g),0
Fatty acid 12:0 (g),0
Fatty acid 14:0 (g),0
Fatty acid 16:0 (g),0.02
Fatty acid 18:0 (g),0
Fatty acid 20:0 (g),0
Sum of monounsaturated fatty acids (g),0
Fatty acid 16:1 (g),0
Fatty acid 18:1 (g),0
Sum of polyunsaturated fatty acids (g),0.02
Fatty acids 18:2 (g),0.01
Fatty acid 18:3 (g),0.01
Fatty acid 20:4 (g),0
EPA (Fatty acid 20:5) (g),0
DPA (Fatty acid 22:5) (g),0
DHA (Fatty acid 22:6) (g),0
Cholesterol (mg),0
Retinol (�g),0
Retinolequivalents (�g),10
Beta-carotene (�g),119
Vitamin D (�g),0
Vitamin E (mg),0.15
Vitamin K (�g),24.4
Thiamin (mg),0.02
Riboflavin (mg),0
Vitamin C (mg),10.1
Niacin (mg),0.19
Niacinequivalents (mg),0.3
Vitamin B-6 (mg),0.05
Vitamin B-12 (�g),0
Folate (�g),10.4
Phosphorus (mg),25
Iodide (�g),0.3
Iron (mg),0.27
Calcium (mg),17
Potassium (mg),160
Magnesium (mg),10
Sodium (mg),3
Salt (g),0.01
Selenium (�g),0
Zinc (mg),0.17
Waste (e.g. peel) (%),5
