label,count
CO2 footprint,0.82
Carbohydrate (g),23.3
Fat (g),1.5
Protein (g),9.38
Fibre (g),11
Water (g),37
Alcohol (g),0
Ash (g),17.8
Monosaccharides (g),22.9
Disaccharides (g),0.1
Sucrose (g),0
Wholegrain total (g),0
Sugar total (g),0
Sum of saturated fatty acids (g),0.13
Fatty acids 4:0-10:0 (g),0
Fatty acid 12:0 (g),0
Fatty acid 14:0 (g),0
Fatty acid 16:0 (g),0.08
Fatty acid 18:0 (g),0.03
Fatty acid 20:0 (g),0.01
Sum of monounsaturated fatty acids (g),0.49
Fatty acid 16:1 (g),0
Fatty acid 18:1 (g),0.48
Sum of polyunsaturated fatty acids (g),0.58
Fatty acids 18:2 (g),0.53
Fatty acid 18:3 (g),0.04
Fatty acid 20:4 (g),0
EPA (Fatty acid 20:5) (g),0
DPA (Fatty acid 22:5) (g),0
DHA (Fatty acid 22:6) (g),0
Cholesterol (mg),1
Retinol (�g),0
Retinolequivalents (�g),43.9
Beta-carotene (�g),527
Vitamin D (�g),0
Vitamin E (mg),7
Vitamin K (�g),12.3
Thiamin (mg),0.05
Riboflavin (mg),0.09
Vitamin C (mg),0
Niacin (mg),4.37
Niacinequivalents (mg),5.9
Vitamin B-6 (mg),1.39
Vitamin B-12 (�g),0
Folate (�g),30.7
Phosphorus (mg),200
Iodide (�g),0.1
Iron (mg),4.29
Calcium (mg),91
Potassium (mg),2300.00
Magnesium (mg),110
Sodium (mg),4300.00
Salt (g),10.75
Selenium (�g),0
Zinc (mg),1.24
Waste (e.g. peel) (%),0
