label,count
Carbohydrate (g),0.4
Fat (g),9.73
Protein (g),12.25
Fibre (g),0
Water (g),76.28
Monosaccharides (g),0.4
Disaccharides (g),0
Sucrose (g),0
Wholegrain total (g),0
Sugar total (g),0
Sum of saturated fatty acids (g),2.59
Sum of monounsaturated fatty acids (g),3.97
Sum of polyunsaturated fatty acids (g),1.46
Cholesterol (mg),340
Vitamin D (�g),1.43
Vitamin E (mg),5.57
Vitamin K (�g),30.2
Vitamin C (mg),0
Vitamin B-6 (mg),0.1
Vitamin B-12 (�g),1.47
Phosphorus (mg),184.3
Iodide (�g),28.6
Iron (mg),1.68
Potassium (mg),131.6
Magnesium (mg),11.7
Sodium (mg),142.1
Salt (g),0.36
Selenium (�g),22.65
Zinc (mg),1.31
