label,count
CO2 footprint,0.7
Carbohydrate (g),1
Fat (g),0.2
Protein (g),1.2
Fibre (g),2.2
Water (g),94
Alcohol (g),0
Ash (g),1.4
Monosaccharides (g),0.2
Disaccharides (g),0.7
Sucrose (g),0.7
Wholegrain total (g),0
Sugar total (g),0
Sum of saturated fatty acids (g),0.04
Fatty acids 4:0-10:0 (g),0
Fatty acid 12:0 (g),0
Fatty acid 14:0 (g),0
Fatty acid 16:0 (g),0.04
Fatty acid 18:0 (g),0
Fatty acid 20:0 (g),0
Sum of monounsaturated fatty acids (g),0
Fatty acid 16:1 (g),0
Fatty acid 18:1 (g),0
Sum of polyunsaturated fatty acids (g),0.09
Fatty acids 18:2 (g),0.08
Fatty acid 18:3 (g),0.01
Fatty acid 20:4 (g),0
EPA (Fatty acid 20:5) (g),0
DPA (Fatty acid 22:5) (g),0
DHA (Fatty acid 22:6) (g),0
Cholesterol (mg),0
Retinol (�g),0
Retinolequivalents (�g),102.5
Beta-carotene (�g),1230.00
Vitamin D (�g),0
Vitamin E (mg),0.1
Vitamin K (�g),0
Thiamin (mg),0.08
Riboflavin (mg),0.08
Vitamin C (mg),7
Niacin (mg),0.4
Niacinequivalents (mg),0.6
Vitamin B-6 (mg),0.02
Vitamin B-12 (�g),0
Folate (�g),142
Phosphorus (mg),28
Iodide (�g),6.4
Iron (mg),0.8
Calcium (mg),52
Potassium (mg),315
Magnesium (mg),15
Sodium (mg),22
Salt (g),0.06
Selenium (�g),1
Zinc (mg),0.8
Waste (e.g. peel) (%),14
