label,count
Carbohydrate (g),1.8
Fat (g),0.4
Protein (g),2.8
Fibre (g),3.3
Water (g),90
Monosaccharides (g),2.3
Disaccharides (g),0.3
Sucrose (g),0.3
Wholegrain total (g),0
Sugar total (g),0
Sum of saturated fatty acids (g),0.07
Sum of monounsaturated fatty acids (g),0.07
Sum of polyunsaturated fatty acids (g),0.18
Cholesterol (mg),0
Vitamin D (�g),0
Vitamin E (mg),0.2
Vitamin K (�g),0
Vitamin C (mg),31
Vitamin B-6 (mg),0.1
Vitamin B-12 (�g),0
Phosphorus (mg),51
Iodide (�g),0
Iron (mg),2.7
Potassium (mg),396
Magnesium (mg),14
Sodium (mg),7
Salt (g),0.02
Selenium (�g),1
Zinc (mg),0.5
