label,count
Carbohydrate (g),10.58
Fat (g),0.05
Protein (g),0
Fibre (g),2.32
Water (g),86.88
Monosaccharides (g),6.54
Disaccharides (g),3.38
Sucrose (g),3.38
Wholegrain total (g),0
Sugar total (g),0
Sum of saturated fatty acids (g),0
Sum of monounsaturated fatty acids (g),0
Sum of polyunsaturated fatty acids (g),0
Cholesterol (mg),0
Vitamin D (µg),0
Vitamin E (mg),0.32
Vitamin K (µg),2.7
Vitamin C (mg),4.8
Vitamin B-6 (mg),0.04
Vitamin B-12 (µg),0
Phosphorus (mg),6.8
Iodide (µg),0
Iron (mg),0.88
Potassium (mg),61.6
Magnesium (mg),3.6
Sodium (mg),0
Salt (g),0
Selenium (µg),0
Zinc (mg),0.03
