label,count
Carbohydrate (g),1.99
Fat (g),0.66
Protein (g),2.58
Fibre (g),1.66
Water (g),91.71
Monosaccharides (g),0.2
Disaccharides (g),0.7
Sucrose (g),0.7
Wholegrain total (g),0
Sugar total (g),2
Sum of saturated fatty acids (g),0.09
Sum of monounsaturated fatty acids (g),0.05
Sum of polyunsaturated fatty acids (g),0.32
Cholesterol (mg),0
Vitamin D (µg),0
Vitamin E (mg),0.43
Vitamin K (µg),0
Vitamin C (mg),15
Vitamin B-6 (mg),0.07
Vitamin B-12 (µg),0
Phosphorus (mg),52
Iodide (µg),0
Iron (mg),1.46
Potassium (mg),369
Magnesium (mg),47
Sodium (mg),27
Salt (g),0.07
Selenium (µg),0.3
Zinc (mg),0.47
