label,count
Carbohydrate (g),22
Fat (g),0.5
Protein (g),1
Fibre (g),1.7
Water (g),74
Monosaccharides (g),7.1
Disaccharides (g),6.4
Sucrose (g),6.4
Wholegrain total (g),0
Sugar total (g),0
Sum of saturated fatty acids (g),0.23
Sum of monounsaturated fatty acids (g),0.05
Sum of polyunsaturated fatty acids (g),0.11
Cholesterol (mg),0
Vitamin D (µg),0
Vitamin E (mg),0.55
Vitamin K (µg),0
Vitamin C (mg),9
Vitamin B-6 (mg),0.58
Vitamin B-12 (µg),0
Phosphorus (mg),20
Iodide (µg),0.4
Iron (mg),0.4
Potassium (mg),395
Magnesium (mg),33
Sodium (mg),1
Salt (g),0
Selenium (µg),0.5
Zinc (mg),0.2
