label,count
Carbohydrate (g),0.5
Fat (g),82
Protein (g),0.4
Fibre (g),0
Water (g),15.91
Monosaccharides (g),0
Disaccharides (g),0.5
Sucrose (g),0
Wholegrain total (g),0
Sugar total (g),0
Sum of saturated fatty acids (g),54.99
Sum of monounsaturated fatty acids (g),19.1
Sum of polyunsaturated fatty acids (g),2.95
Cholesterol (mg),256
Vitamin D (µg),0.51
Vitamin E (mg),2.1
Vitamin K (µg),7.4
Vitamin C (mg),0
Vitamin B-6 (mg),0
Vitamin B-12 (µg),0
Phosphorus (mg),0
Iodide (µg),4
Iron (mg),0
Potassium (mg),0
Magnesium (mg),0
Sodium (mg),480
Salt (g),1.2
Selenium (µg),0
Zinc (mg),0
