label,count
Carbohydrate (g),4.4
Fat (g),0.13
Protein (g),0.81
Fibre (g),1.5
Water (g),92.5
Monosaccharides (g),4.1
Disaccharides (g),0
Sucrose (g),0
Wholegrain total (g),0
Sugar total (g),0
Sum of saturated fatty acids (g),0.02
Sum of monounsaturated fatty acids (g),0.02
Sum of polyunsaturated fatty acids (g),0.06
Cholesterol (mg),0
Vitamin D (µg),0
Vitamin E (mg),0.95
Vitamin K (µg),6.1
Vitamin C (mg),33.7
Vitamin B-6 (mg),0.14
Vitamin B-12 (µg),0
Phosphorus (mg),37
Iodide (µg),0.2
Iron (mg),0.44
Potassium (mg),320
Magnesium (mg),14
Sodium (mg),3
Salt (g),0.01
Selenium (µg),0
Zinc (mg),0.13
