label,count
Carbohydrate (g),0
Fat (g),9
Protein (g),16.72
Fibre (g),0
Water (g),71.2
Monosaccharides (g),0
Disaccharides (g),0
Sucrose (g),0
Wholegrain total (g),0
Sugar total (g),0
Sum of saturated fatty acids (g),1.98
Sum of monounsaturated fatty acids (g),3.66
Sum of polyunsaturated fatty acids (g),2.34
Cholesterol (mg),57
Vitamin D (µg),5.78
Vitamin E (mg),0.71
Vitamin K (µg),0.4
Vitamin C (mg),0
Vitamin B-6 (mg),0.3
Vitamin B-12 (µg),8.79
Phosphorus (mg),276.5
Iodide (µg),41.5
Iron (mg),0.62
Potassium (mg),334.5
Magnesium (mg),36.5
Sodium (mg),198.5
Salt (g),0.5
Selenium (µg),25.25
Zinc (mg),1.42
