label,count
Carbohydrate (g),0
Fat (g),11.9
Protein (g),17.6
Fibre (g),0
Water (g),69.5
Monosaccharides (g),0
Disaccharides (g),0
Sucrose (g),0
Wholegrain total (g),0
Sugar total (g),0
Sum of saturated fatty acids (g),5.95
Sum of monounsaturated fatty acids (g),4.46
Sum of polyunsaturated fatty acids (g),0.93
Cholesterol (mg),78
Vitamin D (µg),0.4
Vitamin E (mg),0.7
Vitamin K (µg),0
Vitamin C (mg),0
Vitamin B-6 (mg),0.2
Vitamin B-12 (µg),1.2
Phosphorus (mg),173
Iodide (µg),0
Iron (mg),1.5
Potassium (mg),220
Magnesium (mg),17
Sodium (mg),66
Salt (g),0.17
Selenium (µg),1.4
Zinc (mg),3.4
