label,count
Carbohydrate (g),0
Fat (g),3.4
Protein (g),16.2
Fibre (g),0
Water (g),79.1
Monosaccharides (g),0
Disaccharides (g),0
Sucrose (g),0
Wholegrain total (g),0
Sugar total (g),0
Sum of saturated fatty acids (g),1.15
Sum of monounsaturated fatty acids (g),0.8
Sum of polyunsaturated fatty acids (g),0.5
Cholesterol (mg),375
Vitamin D (µg),0.4
Vitamin E (mg),0.45
Vitamin K (µg),0
Vitamin C (mg),15
Vitamin B-6 (mg),0.3
Vitamin B-12 (µg),63
Phosphorus (mg),250
Iodide (µg),0
Iron (mg),4.3
Potassium (mg),250
Magnesium (mg),17
Sodium (mg),190
Salt (g),0.48
Selenium (µg),66
Zinc (mg),2.6
