label,count
Carbohydrate (g),0
Fat (g),5.9
Protein (g),20.13
Fibre (g),0
Water (g),73.1
Monosaccharides (g),0
Disaccharides (g),0
Sucrose (g),0
Wholegrain total (g),0
Sugar total (g),0
Sum of saturated fatty acids (g),2.44
Sum of monounsaturated fatty acids (g),2.38
Sum of polyunsaturated fatty acids (g),0.45
Cholesterol (mg),63.2
Vitamin D (µg),0
Vitamin E (mg),0.35
Vitamin K (µg),8
Vitamin C (mg),0
Vitamin B-6 (mg),0.21
Vitamin B-12 (µg),2.36
Phosphorus (mg),190
Iodide (µg),4.3
Iron (mg),1.38
Potassium (mg),310
Magnesium (mg),23
Sodium (mg),78
Salt (g),0.2
Selenium (µg),7.47
Zinc (mg),3.67
