label,count
Carbohydrate (g),0
Fat (g),2.6
Protein (g),20.88
Fibre (g),0
Water (g),74.5
Monosaccharides (g),0
Disaccharides (g),0
Sucrose (g),0
Wholegrain total (g),0
Sugar total (g),0
Sum of saturated fatty acids (g),1.01
Sum of monounsaturated fatty acids (g),1.03
Sum of polyunsaturated fatty acids (g),0.26
Cholesterol (mg),61.9
Vitamin D (µg),0
Vitamin E (mg),0.27
Vitamin K (µg),5.3
Vitamin C (mg),0
Vitamin B-6 (mg),0.34
Vitamin B-12 (µg),1.57
Phosphorus (mg),220
Iodide (µg),4.6
Iron (mg),2.08
Potassium (mg),350
Magnesium (mg),27
Sodium (mg),68
Salt (g),0.17
Selenium (µg),9.58
Zinc (mg),3.51
