label,count
Carbohydrate (g),0
Fat (g),15
Protein (g),19.38
Fibre (g),0
Water (g),66.4
Monosaccharides (g),0
Disaccharides (g),0
Sucrose (g),0
Wholegrain total (g),0
Sugar total (g),0
Sum of saturated fatty acids (g),6.6
Sum of monounsaturated fatty acids (g),6.86
Sum of polyunsaturated fatty acids (g),0.65
Cholesterol (mg),61.7
Vitamin D (µg),0.15
Vitamin E (mg),0.67
Vitamin K (µg),8.2
Vitamin C (mg),0
Vitamin B-6 (mg),0.26
Vitamin B-12 (µg),1.57
Phosphorus (mg),160
Iodide (µg),2.7
Iron (mg),1.94
Potassium (mg),280
Magnesium (mg),20
Sodium (mg),83
Salt (g),0.21
Selenium (µg),5.26
Zinc (mg),4.91
