label,count
Carbohydrate (g),0
Fat (g),20.3
Protein (g),18.6
Fibre (g),0
Water (g),57.4
Monosaccharides (g),0
Disaccharides (g),0
Sucrose (g),0
Wholegrain total (g),0
Sugar total (g),0
Sum of saturated fatty acids (g),13.75
Sum of monounsaturated fatty acids (g),5.04
Sum of polyunsaturated fatty acids (g),0.76
Cholesterol (mg),58
Vitamin D (µg),0.2
Vitamin E (mg),0.31
Vitamin K (µg),0
Vitamin C (mg),0
Vitamin B-6 (mg),0.1
Vitamin B-12 (µg),1.7
Phosphorus (mg),267
Iodide (µg),0
Iron (mg),0
Potassium (mg),51
Magnesium (mg),15
Sodium (mg),395
Salt (g),0.99
Selenium (µg),6
Zinc (mg),2.7
