label,count
Carbohydrate (g),4.1
Fat (g),0.23
Protein (g),0.5
Fibre (g),0.9
Water (g),93.4
Monosaccharides (g),4.8
Disaccharides (g),0.1
Sucrose (g),0.1
Wholegrain total (g),0
Sugar total (g),0
Sum of saturated fatty acids (g),0
Sum of monounsaturated fatty acids (g),0
Sum of polyunsaturated fatty acids (g),0
Cholesterol (mg),0
Vitamin D (µg),0
Vitamin E (mg),2.55
Vitamin K (µg),6.5
Vitamin C (mg),144
Vitamin B-6 (mg),0.24
Vitamin B-12 (µg),0
Phosphorus (mg),14.9
Iodide (µg),0
Iron (mg),0.28
Potassium (mg),116
Magnesium (mg),7.6
Sodium (mg),0
Salt (g),0
Selenium (µg),0
Zinc (mg),0.16
