label,count
Carbohydrate (g),8.8
Fat (g),0.4
Protein (g),5.4
Fibre (g),5.5
Water (g),79
Monosaccharides (g),0.3
Disaccharides (g),3.7
Sucrose (g),3.7
Wholegrain total (g),0
Sugar total (g),0
Sum of saturated fatty acids (g),0.08
Sum of monounsaturated fatty acids (g),0.03
Sum of polyunsaturated fatty acids (g),0.22
Cholesterol (mg),0
Vitamin D (µg),0
Vitamin E (mg),0.13
Vitamin K (µg),0
Vitamin C (mg),40
Vitamin B-6 (mg),0.17
Vitamin B-12 (µg),0
Phosphorus (mg),130
Iodide (µg),0.2
Iron (mg),2
Potassium (mg),370
Magnesium (mg),40
Sodium (mg),1
Salt (g),0
Selenium (µg),0.2
Zinc (mg),1.3
