label,count
Carbohydrate (g),16.4
Fat (g),0.1
Protein (g),1.74
Fibre (g),2.09
Water (g),78.81
Monosaccharides (g),0.52
Disaccharides (g),0.32
Sucrose (g),0.32
Wholegrain total (g),0
Sugar total (g),0
Sum of saturated fatty acids (g),0
Sum of monounsaturated fatty acids (g),0
Sum of polyunsaturated fatty acids (g),0
Cholesterol (mg),0
Vitamin D (µg),0
Vitamin E (mg),0.07
Vitamin K (µg),1.2
Vitamin C (mg),23.6
Vitamin B-6 (mg),0.21
Vitamin B-12 (µg),0
Phosphorus (mg),43.1
Iodide (µg),0.2
Iron (mg),0.4
Potassium (mg),378.5
Magnesium (mg),21.8
Sodium (mg),3.1
Salt (g),0.01
Selenium (µg),0.05
Zinc (mg),0.22
