label,count
Carbohydrate (g),0
Fat (g),0.5
Protein (g),2.13
Fibre (g),1.5
Water (g),94.4
Monosaccharides (g),0.2
Disaccharides (g),0
Sucrose (g),0
Wholegrain total (g),0
Sugar total (g),0
Sum of saturated fatty acids (g),0.06
Sum of monounsaturated fatty acids (g),0.03
Sum of polyunsaturated fatty acids (g),0.31
Cholesterol (mg),0
Vitamin D (µg),0
Vitamin E (mg),0.93
Vitamin K (µg),255
Vitamin C (mg),8.5
Vitamin B-6 (mg),0.13
Vitamin B-12 (µg),0
Phosphorus (mg),26
Iodide (µg),2
Iron (mg),1.37
Potassium (mg),260
Magnesium (mg),34
Sodium (mg),200
Salt (g),0.5
Selenium (µg),0
Zinc (mg),0.37
