label,count
Carbohydrate (g),11.9
Fat (g),0.5
Protein (g),6.88
Fibre (g),4.1
Water (g),75.7
Monosaccharides (g),0.01
Disaccharides (g),0.21
Sucrose (g),0.16
Wholegrain total (g),0
Sugar total (g),0
Sum of saturated fatty acids (g),0.07
Sum of monounsaturated fatty acids (g),0.1
Sum of polyunsaturated fatty acids (g),0.22
Cholesterol (mg),0
Vitamin D (µg),0
Vitamin E (mg),0.34
Vitamin K (µg),14.9
Vitamin C (mg),0
Vitamin B-6 (mg),0.09
Vitamin B-12 (µg),0
Phosphorus (mg),71.2
Iodide (µg),2.3
Iron (mg),1.59
Potassium (mg),119
Magnesium (mg),17.6
Sodium (mg),230.2
Salt (g),0.58
Selenium (µg),20.5
Zinc (mg),0.4
