label,count
Carbohydrate (g),80.2
Fat (g),0.8
Protein (g),6.4
Fibre (g),1.1
Water (g),11
Monosaccharides (g),0
Disaccharides (g),0.2
Sucrose (g),0.2
Wholegrain total (g),0
Sugar total (g),0.2
Sum of saturated fatty acids (g),0.14
Sum of monounsaturated fatty acids (g),0.26
Sum of polyunsaturated fatty acids (g),0.27
Cholesterol (mg),0
Vitamin D (µg),0
Vitamin E (mg),0
Vitamin K (µg),0
Vitamin C (mg),0
Vitamin B-6 (mg),0.2
Vitamin B-12 (µg),0
Phosphorus (mg),96
Iodide (µg),0
Iron (mg),0.2
Potassium (mg),96
Magnesium (mg),28
Sodium (mg),1
Salt (g),0
Selenium (µg),0
Zinc (mg),1.1
