label,count
Carbohydrate (g),2.68
Fat (g),0.14
Protein (g),1.31
Fibre (g),1.62
Water (g),93.7
Monosaccharides (g),2.4
Disaccharides (g),0.1
Sucrose (g),0.1
Wholegrain total (g),0
Sugar total (g),0
Sum of saturated fatty acids (g),0.03
Sum of monounsaturated fatty acids (g),0.02
Sum of polyunsaturated fatty acids (g),0.06
Cholesterol (mg),0
Vitamin D (µg),0
Vitamin E (mg),0.34
Vitamin K (µg),0
Vitamin C (mg),39
Vitamin B-6 (mg),0.15
Vitamin B-12 (µg),0
Phosphorus (mg),38
Iodide (µg),0.3
Iron (mg),0.34
Potassium (mg),204
Magnesium (mg),15
Sodium (mg),9
Salt (g),0.02
Selenium (µg),0.2
Zinc (mg),0.3
