label,count
Carbohydrate (g),0
Fat (g),12
Protein (g),18.4
Fibre (g),0
Water (g),68
Monosaccharides (g),0
Disaccharides (g),0
Sucrose (g),0
Wholegrain total (g),0
Sugar total (g),0
Sum of saturated fatty acids (g),2.55
Sum of monounsaturated fatty acids (g),4.97
Sum of polyunsaturated fatty acids (g),3.28
Cholesterol (mg),70
Vitamin D (µg),12.5
Vitamin E (mg),1.3
Vitamin K (µg),0
Vitamin C (mg),0
Vitamin B-6 (mg),0.98
Vitamin B-12 (µg),6.2
Phosphorus (mg),200
Iodide (µg),40
Iron (mg),0.8
Potassium (mg),330
Magnesium (mg),24
Sodium (mg),57
Salt (g),0.14
Selenium (µg),26
Zinc (mg),0.4
