label,count
Carbohydrate (g),8.29
Fat (g),0.21
Protein (g),0.49
Fibre (g),1.9
Water (g),88.73
Monosaccharides (g),7.3
Disaccharides (g),0.6
Sucrose (g),0.6
Wholegrain total (g),0
Sugar total (g),0
Sum of saturated fatty acids (g),0.04
Sum of monounsaturated fatty acids (g),0.02
Sum of polyunsaturated fatty acids (g),0.11
Cholesterol (mg),0
Vitamin D (µg),0
Vitamin E (mg),0.55
Vitamin K (µg),5
Vitamin C (mg),60.8
Vitamin B-6 (mg),0.07
Vitamin B-12 (µg),0
Phosphorus (mg),20
Iodide (µg),0.6
Iron (mg),0.34
Potassium (mg),129.5
Magnesium (mg),11
Sodium (mg),1
Salt (g),0
Selenium (µg),0
Zinc (mg),0.2
