label,count
Carbohydrate (g),6.1
Fat (g),0.06
Protein (g),1.37
Fibre (g),3
Water (g),88.8
Monosaccharides (g),6.4
Disaccharides (g),0.4
Sucrose (g),0.4
Wholegrain total (g),0
Sugar total (g),0
Sum of saturated fatty acids (g),0.01
Sum of monounsaturated fatty acids (g),0.01
Sum of polyunsaturated fatty acids (g),0.03
Cholesterol (mg),0
Vitamin D (µg),0
Vitamin E (mg),0
Vitamin K (µg),3.7
Vitamin C (mg),57.1
Vitamin B-6 (mg),0.22
Vitamin B-12 (µg),0
Phosphorus (mg),30.4
Iodide (µg),0
Iron (mg),0.23
Potassium (mg),166
Magnesium (mg),9.1
Sodium (mg),7.7
Salt (g),0.02
Selenium (µg),0
Zinc (mg),0.15
