label,count
Carbohydrate (g),0
Fat (g),4.2
Protein (g),7.8
Fibre (g),2.5
Water (g),84.7
Monosaccharides (g),0.4
Disaccharides (g),0.8
Sucrose (g),0.8
Wholegrain total (g),0
Sugar total (g),0
Sum of saturated fatty acids (g),0.58
Sum of monounsaturated fatty acids (g),1
Sum of polyunsaturated fatty acids (g),2.35
Cholesterol (mg),0
Vitamin D (µg),0
Vitamin E (mg),1
Vitamin K (µg),0
Vitamin C (mg),0
Vitamin B-6 (mg),0.5
Vitamin B-12 (µg),0
Phosphorus (mg),126
Iodide (µg),0
Iron (mg),1.9
Potassium (mg),42
Magnesium (mg),111
Sodium (mg),7
Salt (g),0.02
Selenium (µg),1
Zinc (mg),1.6
