label,count
Carbohydrate (g),0
Fat (g),4.9
Protein (g),23.3
Fibre (g),0
Water (g),70.62
Monosaccharides (g),0
Disaccharides (g),0
Sucrose (g),0
Wholegrain total (g),0
Sugar total (g),0
Sum of saturated fatty acids (g),1.26
Sum of monounsaturated fatty acids (g),1.6
Sum of polyunsaturated fatty acids (g),1.43
Cholesterol (mg),38
Vitamin D (µg),4.5
Vitamin E (mg),1
Vitamin K (µg),0
Vitamin C (mg),0
Vitamin B-6 (mg),0.46
Vitamin B-12 (µg),9.43
Phosphorus (mg),254
Iodide (µg),0
Iron (mg),1.02
Potassium (mg),252
Magnesium (mg),50
Sodium (mg),39
Salt (g),0.1
Selenium (µg),36.5
Zinc (mg),0.6
