label,count
Carbohydrate (g),49.2
Fat (g),1
Protein (g),21.5
Fibre (g),10.7
Water (g),15
Monosaccharides (g),0.3
Disaccharides (g),1.8
Sucrose (g),1.8
Wholegrain total (g),0
Sugar total (g),0
Sum of saturated fatty acids (g),0.19
Sum of monounsaturated fatty acids (g),0.07
Sum of polyunsaturated fatty acids (g),0.54
Cholesterol (mg),0
Vitamin D (µg),0
Vitamin E (mg),0.09
Vitamin K (µg),0
Vitamin C (mg),1
Vitamin B-6 (mg),0.08
Vitamin B-12 (µg),0
Phosphorus (mg),380
Iodide (µg),45
Iron (mg),6
Potassium (mg),1100.00
Magnesium (mg),120
Sodium (mg),2
Salt (g),0.01
Selenium (µg),2
Zinc (mg),3.8
