label,count
CO2 footprint,0.23
Carbohydrate (g),31.1
Fat (g),0.5
Protein (g),6.4
Fibre (g),1.5
Water (g),59
Alcohol (g),0
Ash (g),1.5
Monosaccharides (g),3
Disaccharides (g),0.9
Sucrose (g),0.9
Wholegrain total (g),0
Sugar total (g),0
Sum of saturated fatty acids (g),0.09
Fatty acids 4:0-10:0 (g),0
Fatty acid 12:0 (g),0
Fatty acid 14:0 (g),0
Fatty acid 16:0 (g),0.09
Fatty acid 18:0 (g),0
Fatty acid 20:0 (g),0
Sum of monounsaturated fatty acids (g),0.01
Fatty acid 16:1 (g),0
Fatty acid 18:1 (g),0.01
Sum of polyunsaturated fatty acids (g),0.25
Fatty acids 18:2 (g),0.23
Fatty acid 18:3 (g),0.02
Fatty acid 20:4 (g),0
EPA (Fatty acid 20:5) (g),0
DPA (Fatty acid 22:5) (g),0
DHA (Fatty acid 22:6) (g),0
Cholesterol (mg),0
Retinol (�g),0
Retinolequivalents (�g),0
Beta-carotene (�g),0
Vitamin D (�g),0
Vitamin E (mg),0.01
Vitamin K (�g),0
Thiamin (mg),0.2
Riboflavin (mg),0.11
Vitamin C (mg),31
Niacin (mg),0.7
Niacinequivalents (mg),1.77
Vitamin B-6 (mg),0.13
Vitamin B-12 (�g),0
Folate (�g),3
Phosphorus (mg),153
Iodide (�g),2.7
Iron (mg),1.7
Calcium (mg),181
Potassium (mg),400
Magnesium (mg),25
Sodium (mg),17
Salt (g),0.04
Selenium (�g),20
Zinc (mg),1
Waste (e.g. peel) (%),13
