label,count
Carbohydrate (g),3
Fat (g),0.06
Protein (g),0.5
Fibre (g),2
Water (g),94.1
Monosaccharides (g),2.9
Disaccharides (g),0.1
Sucrose (g),0.1
Wholegrain total (g),0
Sugar total (g),0
Sum of saturated fatty acids (g),0
Sum of monounsaturated fatty acids (g),0
Sum of polyunsaturated fatty acids (g),0
Cholesterol (mg),0
Vitamin D (�g),0
Vitamin E (mg),0.65
Vitamin K (�g),11.8
Vitamin C (mg),109
Vitamin B-6 (mg),0.19
Vitamin B-12 (�g),0
Phosphorus (mg),15.2
Iodide (�g),0
Iron (mg),0.29
Potassium (mg),110
Magnesium (mg),8.2
Sodium (mg),0
Salt (g),0
Selenium (�g),0
Zinc (mg),0.14
