label,count
CO2 footprint,2.1
Carbohydrate (g),0
Fat (g),9
Protein (g),16.72
Fibre (g),0
Water (g),71.2
Alcohol (g),0
Ash (g),1.8
Monosaccharides (g),0
Disaccharides (g),0
Sucrose (g),0
Wholegrain total (g),0
Sugar total (g),0
Sum of saturated fatty acids (g),1.98
Fatty acids 4:0-10:0 (g),0
Fatty acid 12:0 (g),0
Fatty acid 14:0 (g),0.62
Fatty acid 16:0 (g),1.12
Fatty acid 18:0 (g),0.1
Fatty acid 20:0 (g),0.01
Sum of monounsaturated fatty acids (g),3.66
Fatty acid 16:1 (g),0.36
Fatty acid 18:1 (g),0.84
Sum of polyunsaturated fatty acids (g),2.34
Fatty acids 18:2 (g),0.2
Fatty acid 18:3 (g),0.17
Fatty acid 20:4 (g),0.09
EPA (Fatty acid 20:5) (g),0.42
DPA (Fatty acid 22:5) (g),0.08
DHA (Fatty acid 22:6) (g),0.92
Cholesterol (mg),57
Retinol (�g),6.4
Retinolequivalents (�g),6.4
Beta-carotene (�g),0
Vitamin D (�g),5.78
Vitamin E (mg),0.71
Vitamin K (�g),0.4
Thiamin (mg),0
Riboflavin (mg),0.21
Vitamin C (mg),0
Niacin (mg),4.96
Niacinequivalents (mg),8
Vitamin B-6 (mg),0.3
Vitamin B-12 (�g),8.79
Folate (�g),11
Phosphorus (mg),276.5
Iodide (�g),41.5
Iron (mg),0.62
Calcium (mg),56
Potassium (mg),334.5
Magnesium (mg),36.5
Sodium (mg),198.5
Salt (g),0.5
Selenium (�g),25.25
Zinc (mg),1.42
Waste (e.g. peel) (%),30
