label,count
Carbohydrate (g),2.5
Fat (g),0.12
Protein (g),0.81
Fibre (g),0
Water (g),96.2
Monosaccharides (g),2.1
Disaccharides (g),0.1
Sucrose (g),0.1
Wholegrain total (g),0
Sugar total (g),0
Sum of saturated fatty acids (g),0.02
Sum of monounsaturated fatty acids (g),0.01
Sum of polyunsaturated fatty acids (g),0.07
Cholesterol (mg),0
Vitamin D (µg),0
Vitamin E (mg),0.76
Vitamin K (µg),44.3
Vitamin C (mg),5
Vitamin B-6 (mg),0.05
Vitamin B-12 (µg),0
Phosphorus (mg),23
Iodide (µg),0
Iron (mg),0.33
Potassium (mg),180
Magnesium (mg),11
Sodium (mg),3
Salt (g),0.01
Selenium (µg),0
Zinc (mg),0.23
