label,count
Carbohydrate (g),3.2
Fat (g),0.7
Protein (g),3.38
Fibre (g),3.7
Water (g),87.5
Monosaccharides (g),1.4
Disaccharides (g),0.7
Sucrose (g),0.7
Wholegrain total (g),0
Sugar total (g),0
Sum of saturated fatty acids (g),0
Sum of monounsaturated fatty acids (g),0
Sum of polyunsaturated fatty acids (g),0
Cholesterol (mg),0
Vitamin D (�g),0
Vitamin E (mg),2.12
Vitamin K (�g),347
Vitamin C (mg),74
Vitamin B-6 (mg),0.2
Vitamin B-12 (�g),0
Phosphorus (mg),68.9
Iodide (�g),0
Iron (mg),0.86
Potassium (mg),378
Magnesium (mg),20.1
Sodium (mg),21.6
Salt (g),0.05
Selenium (�g),0
Zinc (mg),0.44
