label,count
CO2 footprint,0.23
Carbohydrate (g),4.4
Fat (g),0.1
Protein (g),1.7
Fibre (g),1.8
Water (g),91
Alcohol (g),0
Ash (g),1
Monosaccharides (g),2
Disaccharides (g),0.9
Sucrose (g),0.9
Wholegrain total (g),0
Sugar total (g),0
Sum of saturated fatty acids (g),0
Fatty acids 4:0-10:0 (g),0
Fatty acid 12:0 (g),0
Fatty acid 14:0 (g),0
Fatty acid 16:0 (g),0
Fatty acid 18:0 (g),0
Fatty acid 20:0 (g),0
Sum of monounsaturated fatty acids (g),0
Fatty acid 16:1 (g),0
Fatty acid 18:1 (g),0
Sum of polyunsaturated fatty acids (g),0
Fatty acids 18:2 (g),0
Fatty acid 18:3 (g),0
Fatty acid 20:4 (g),0
EPA (Fatty acid 20:5) (g),0
DPA (Fatty acid 22:5) (g),0
DHA (Fatty acid 22:6) (g),0
Cholesterol (mg),0
Retinol (�g),0
Retinolequivalents (�g),2
Beta-carotene (�g),24
Vitamin D (�g),0
Vitamin E (mg),0.2
Vitamin K (�g),0
Thiamin (mg),0.05
Riboflavin (mg),0.02
Vitamin C (mg),62
Niacin (mg),0.4
Niacinequivalents (mg),0.68
Vitamin B-6 (mg),0.15
Vitamin B-12 (�g),0
Folate (�g),20
Phosphorus (mg),46
Iodide (�g),0
Iron (mg),0.4
Calcium (mg),24
Potassium (mg),350
Magnesium (mg),19
Sodium (mg),20
Salt (g),0.05
Selenium (�g),0.5
Zinc (mg),0.3
Waste (e.g. peel) (%),54
