label,count
CO2 footprint,13.35
Carbohydrate (g),0
Fat (g),17.3
Protein (g),19
Fibre (g),0
Water (g),62.4
Alcohol (g),0
Ash (g),0.8
Monosaccharides (g),0
Disaccharides (g),0
Sucrose (g),0
Wholegrain total (g),0
Sugar total (g),0
Sum of saturated fatty acids (g),7.89
Fatty acids 4:0-10:0 (g),0.03
Fatty acid 12:0 (g),0.05
Fatty acid 14:0 (g),0.73
Fatty acid 16:0 (g),3.68
Fatty acid 18:0 (g),2.64
Fatty acid 20:0 (g),0.03
Sum of monounsaturated fatty acids (g),6.7
Fatty acid 16:1 (g),0.35
Fatty acid 18:1 (g),6.12
Sum of polyunsaturated fatty acids (g),0.89
Fatty acids 18:2 (g),0.64
Fatty acid 18:3 (g),0.17
Fatty acid 20:4 (g),0.02
EPA (Fatty acid 20:5) (g),0.02
DPA (Fatty acid 22:5) (g),0.03
DHA (Fatty acid 22:6) (g),0
Cholesterol (mg),69.9
Retinol (�g),20.2
Retinolequivalents (�g),20.2
Beta-carotene (�g),0
Vitamin D (�g),0
Vitamin E (mg),0.41
Vitamin K (�g),14.5
Thiamin (mg),0.17
Riboflavin (mg),0.21
Vitamin C (mg),0
Niacin (mg),5.93
Niacinequivalents (mg),9.4
Vitamin B-6 (mg),0.29
Vitamin B-12 (�g),0.88
Folate (�g),1
Phosphorus (mg),170
Iodide (�g),4.6
Iron (mg),1.45
Calcium (mg),12
Potassium (mg),260
Magnesium (mg),21
Sodium (mg),72
Salt (g),0.18
Selenium (�g),4.62
Zinc (mg),2.12
Waste (e.g. peel) (%),30
