label,count
Carbohydrate (g),0
Fat (g),5.6
Protein (g),17.1
Fibre (g),0
Water (g),76.3
Monosaccharides (g),0
Disaccharides (g),0
Sucrose (g),0
Wholegrain total (g),0
Sugar total (g),0
Sum of saturated fatty acids (g),2.16
Sum of monounsaturated fatty acids (g),1.66
Sum of polyunsaturated fatty acids (g),0.53
Cholesterol (mg),140
Vitamin D (�g),0.4
Vitamin E (mg),0.37
Vitamin K (�g),0
Vitamin C (mg),7
Vitamin B-6 (mg),0.29
Vitamin B-12 (�g),8
Phosphorus (mg),210
Iodide (�g),1.9
Iron (mg),3.6
Potassium (mg),280
Magnesium (mg),21
Sodium (mg),140
Salt (g),0.35
Selenium (�g),3
Zinc (mg),2
