label,count
CO2 footprint,13.35
Carbohydrate (g),0
Fat (g),14.6
Protein (g),15.3
Fibre (g),0
Water (g),69
Alcohol (g),0
Ash (g),1.1
Monosaccharides (g),0
Disaccharides (g),0
Sucrose (g),0
Wholegrain total (g),0
Sugar total (g),0
Sum of saturated fatty acids (g),7.3
Fatty acids 4:0-10:0 (g),0.06
Fatty acid 12:0 (g),0.11
Fatty acid 14:0 (g),0.92
Fatty acid 16:0 (g),3.24
Fatty acid 18:0 (g),2.41
Fatty acid 20:0 (g),0.21
Sum of monounsaturated fatty acids (g),5.47
Fatty acid 16:1 (g),0.45
Fatty acid 18:1 (g),4.86
Sum of polyunsaturated fatty acids (g),1.14
Fatty acids 18:2 (g),0.63
Fatty acid 18:3 (g),0.14
Fatty acid 20:4 (g),0.04
EPA (Fatty acid 20:5) (g),0
DPA (Fatty acid 22:5) (g),0
DHA (Fatty acid 22:6) (g),0
Cholesterol (mg),180
Retinol (�g),53
Retinolequivalents (�g),53.6
Beta-carotene (�g),7
Vitamin D (�g),0.4
Vitamin E (mg),0.21
Vitamin K (�g),0
Thiamin (mg),0.17
Riboflavin (mg),0.49
Vitamin C (mg),7
Niacin (mg),4.9
Niacinequivalents (mg),7.71
Vitamin B-6 (mg),0.17
Vitamin B-12 (�g),7
Folate (�g),19
Phosphorus (mg),170
Iodide (�g),0
Iron (mg),2.2
Calcium (mg),6
Potassium (mg),250
Magnesium (mg),21
Sodium (mg),97
Salt (g),0.24
Selenium (�g),5
Zinc (mg),2.5
Waste (e.g. peel) (%),20
