label,count
CO2 footprint,13.35
Carbohydrate (g),0
Fat (g),3.4
Protein (g),16.2
Fibre (g),0
Water (g),79.1
Alcohol (g),0
Ash (g),1.3
Monosaccharides (g),0
Disaccharides (g),0
Sucrose (g),0
Wholegrain total (g),0
Sugar total (g),0
Sum of saturated fatty acids (g),1.15
Fatty acids 4:0-10:0 (g),0
Fatty acid 12:0 (g),0
Fatty acid 14:0 (g),0.06
Fatty acid 16:0 (g),0.51
Fatty acid 18:0 (g),0.56
Fatty acid 20:0 (g),0.05
Sum of monounsaturated fatty acids (g),0.8
Fatty acid 16:1 (g),0.05
Fatty acid 18:1 (g),0.72
Sum of polyunsaturated fatty acids (g),0.5
Fatty acids 18:2 (g),0.21
Fatty acid 18:3 (g),0.1
Fatty acid 20:4 (g),0.18
EPA (Fatty acid 20:5) (g),0
DPA (Fatty acid 22:5) (g),0
DHA (Fatty acid 22:6) (g),0
Cholesterol (mg),375
Retinol (�g),107
Retinolequivalents (�g),107.5
Beta-carotene (�g),6
Vitamin D (�g),0.4
Vitamin E (mg),0.45
Vitamin K (�g),0
Thiamin (mg),0.68
Riboflavin (mg),2.4
Vitamin C (mg),15
Niacin (mg),7.4
Niacinequivalents (mg),10.37
Vitamin B-6 (mg),0.3
Vitamin B-12 (�g),63
Folate (�g),31
Phosphorus (mg),250
Iodide (�g),0
Iron (mg),4.3
Calcium (mg),15
Potassium (mg),250
Magnesium (mg),17
Sodium (mg),190
Salt (g),0.48
Selenium (�g),66
Zinc (mg),2.6
Waste (e.g. peel) (%),3
