label,count
CO2 footprint,13.35
Carbohydrate (g),4.8
Fat (g),19.3
Protein (g),15.88
Fibre (g),0
Water (g),56.9
Alcohol (g),0
Ash (g),3.1
Monosaccharides (g),0.4
Disaccharides (g),0.17
Sucrose (g),0.17
Wholegrain total (g),0
Sugar total (g),0
Sum of saturated fatty acids (g),8.58
Fatty acids 4:0-10:0 (g),0.01
Fatty acid 12:0 (g),0.02
Fatty acid 14:0 (g),0.54
Fatty acid 16:0 (g),4.39
Fatty acid 18:0 (g),2.94
Fatty acid 20:0 (g),0.03
Sum of monounsaturated fatty acids (g),7.97
Fatty acid 16:1 (g),0.7
Fatty acid 18:1 (g),6.93
Sum of polyunsaturated fatty acids (g),0.88
Fatty acids 18:2 (g),0.63
Fatty acid 18:3 (g),0.17
Fatty acid 20:4 (g),0.03
EPA (Fatty acid 20:5) (g),0
DPA (Fatty acid 22:5) (g),0.02
DHA (Fatty acid 22:6) (g),0
Cholesterol (mg),62.7
Retinol (�g),118
Retinolequivalents (�g),122.1
Beta-carotene (�g),45
Vitamin D (�g),0.16
Vitamin E (mg),2.94
Vitamin K (�g),16.4
Thiamin (mg),0.1
Riboflavin (mg),0.17
Vitamin C (mg),0
Niacin (mg),3.84
Niacinequivalents (mg),6.8
Vitamin B-6 (mg),0.17
Vitamin B-12 (�g),1.95
Folate (�g),4.9
Phosphorus (mg),160
Iodide (�g),4.4
Iron (mg),2.38
Calcium (mg),16
Potassium (mg),230
Magnesium (mg),16
Sodium (mg),970
Salt (g),2.43
Selenium (�g),21.71
Zinc (mg),3.51
Waste (e.g. peel) (%),22.9
