label,count
CO2 footprint,13.35
Carbohydrate (g),0
Fat (g),5.9
Protein (g),20.13
Fibre (g),0
Water (g),73.1
Alcohol (g),0
Ash (g),1
Monosaccharides (g),0
Disaccharides (g),0
Sucrose (g),0
Wholegrain total (g),0
Sugar total (g),0
Sum of saturated fatty acids (g),2.44
Fatty acids 4:0-10:0 (g),0
Fatty acid 12:0 (g),0.02
Fatty acid 14:0 (g),0.21
Fatty acid 16:0 (g),1.2
Fatty acid 18:0 (g),0.77
Fatty acid 20:0 (g),0.01
Sum of monounsaturated fatty acids (g),2.38
Fatty acid 16:1 (g),0.12
Fatty acid 18:1 (g),2.18
Sum of polyunsaturated fatty acids (g),0.45
Fatty acids 18:2 (g),0.28
Fatty acid 18:3 (g),0.07
Fatty acid 20:4 (g),0.04
EPA (Fatty acid 20:5) (g),0.02
DPA (Fatty acid 22:5) (g),0.02
DHA (Fatty acid 22:6) (g),0.01
Cholesterol (mg),63.2
Retinol (�g),6.6
Retinolequivalents (�g),6.6
Beta-carotene (�g),0
Vitamin D (�g),0
Vitamin E (mg),0.35
Vitamin K (�g),8
Thiamin (mg),0.16
Riboflavin (mg),0.24
Vitamin C (mg),0
Niacin (mg),5.34
Niacinequivalents (mg),9
Vitamin B-6 (mg),0.21
Vitamin B-12 (�g),2.36
Folate (�g),1
Phosphorus (mg),190
Iodide (�g),4.3
Iron (mg),1.38
Calcium (mg),4.9
Potassium (mg),310
Magnesium (mg),23
Sodium (mg),78
Salt (g),0.2
Selenium (�g),7.47
Zinc (mg),3.67
Waste (e.g. peel) (%),30
