label,count
CO2 footprint,13.35
Carbohydrate (g),0
Fat (g),7.8
Protein (g),15.3
Fibre (g),0
Water (g),75.6
Alcohol (g),0
Ash (g),1.3
Monosaccharides (g),0
Disaccharides (g),0
Sucrose (g),0
Wholegrain total (g),0
Sugar total (g),0
Sum of saturated fatty acids (g),3.82
Fatty acids 4:0-10:0 (g),0
Fatty acid 12:0 (g),0.05
Fatty acid 14:0 (g),0.36
Fatty acid 16:0 (g),1.61
Fatty acid 18:0 (g),1.67
Fatty acid 20:0 (g),0
Sum of monounsaturated fatty acids (g),3.05
Fatty acid 16:1 (g),0.19
Fatty acid 18:1 (g),2.76
Sum of polyunsaturated fatty acids (g),0.42
Fatty acids 18:2 (g),0.16
Fatty acid 18:3 (g),0.16
Fatty acid 20:4 (g),0.1
EPA (Fatty acid 20:5) (g),0
DPA (Fatty acid 22:5) (g),0
DHA (Fatty acid 22:6) (g),0
Cholesterol (mg),250
Retinol (�g),7
Retinolequivalents (�g),7
Beta-carotene (�g),0
Vitamin D (�g),0.4
Vitamin E (mg),0.44
Vitamin K (�g),0
Thiamin (mg),0.03
Riboflavin (mg),0.25
Vitamin C (mg),18
Niacin (mg),3.7
Niacinequivalents (mg),6.51
Vitamin B-6 (mg),0.03
Vitamin B-12 (�g),6
Folate (�g),13
Phosphorus (mg),400
Iodide (�g),0
Iron (mg),1.7
Calcium (mg),8
Potassium (mg),420
Magnesium (mg),21
Sodium (mg),75
Salt (g),0.19
Selenium (�g),3
Zinc (mg),1.9
Waste (e.g. peel) (%),0
