label,count
CO2 footprint,13.35
Carbohydrate (g),0
Fat (g),12.6
Protein (g),17.8
Fibre (g),0
Water (g),68.6
Alcohol (g),0
Ash (g),1
Monosaccharides (g),0
Disaccharides (g),0
Sucrose (g),0
Wholegrain total (g),0
Sugar total (g),0
Sum of saturated fatty acids (g),6.3
Fatty acids 4:0-10:0 (g),0.05
Fatty acid 12:0 (g),0.1
Fatty acid 14:0 (g),0.79
Fatty acid 16:0 (g),2.8
Fatty acid 18:0 (g),2.08
Fatty acid 20:0 (g),0.18
Sum of monounsaturated fatty acids (g),4.72
Fatty acid 16:1 (g),0.38
Fatty acid 18:1 (g),4.19
Sum of polyunsaturated fatty acids (g),0.98
Fatty acids 18:2 (g),0.54
Fatty acid 18:3 (g),0.12
Fatty acid 20:4 (g),0.04
EPA (Fatty acid 20:5) (g),0
DPA (Fatty acid 22:5) (g),0
DHA (Fatty acid 22:6) (g),0
Cholesterol (mg),78
Retinol (�g),53
Retinolequivalents (�g),53.6
Beta-carotene (�g),7
Vitamin D (�g),0.4
Vitamin E (mg),0.7
Vitamin K (�g),0
Thiamin (mg),0.18
Riboflavin (mg),0.3
Vitamin C (mg),0
Niacin (mg),4.3
Niacinequivalents (mg),7.56
Vitamin B-6 (mg),0.2
Vitamin B-12 (�g),1.2
Folate (�g),5
Phosphorus (mg),166
Iodide (�g),0
Iron (mg),1.6
Calcium (mg),15
Potassium (mg),220
Magnesium (mg),17
Sodium (mg),66
Salt (g),0.17
Selenium (�g),1.4
Zinc (mg),3.4
Waste (e.g. peel) (%),29
