label,count
CO2 footprint,0.7
Carbohydrate (g),0.8
Fat (g),0.2
Protein (g),2.63
Fibre (g),1.8
Water (g),93.5
Alcohol (g),0
Ash (g),1.06
Monosaccharides (g),0.2
Disaccharides (g),0
Sucrose (g),0
Wholegrain total (g),0
Sugar total (g),0
Sum of saturated fatty acids (g),0.1
Fatty acids 4:0-10:0 (g),0
Fatty acid 12:0 (g),0
Fatty acid 14:0 (g),0
Fatty acid 16:0 (g),0.03
Fatty acid 18:0 (g),0
Fatty acid 20:0 (g),0
Sum of monounsaturated fatty acids (g),0
Fatty acid 16:1 (g),0
Fatty acid 18:1 (g),0
Sum of polyunsaturated fatty acids (g),0.1
Fatty acids 18:2 (g),0.05
Fatty acid 18:3 (g),0.06
Fatty acid 20:4 (g),0
EPA (Fatty acid 20:5) (g),0
DPA (Fatty acid 22:5) (g),0
DHA (Fatty acid 22:6) (g),0
Cholesterol (mg),0
Retinol (�g),0
Retinolequivalents (�g),246.4
Beta-carotene (�g),2920.00
Vitamin D (�g),0
Vitamin E (mg),1.5
Vitamin K (�g),377
Thiamin (mg),0.03
Riboflavin (mg),0.13
Vitamin C (mg),35.3
Niacin (mg),0.7
Niacinequivalents (mg),1.1
Vitamin B-6 (mg),0.14
Vitamin B-12 (�g),0
Folate (�g),90.9
Phosphorus (mg),30
Iodide (�g),6.4
Iron (mg),1.78
Calcium (mg),71
Potassium (mg),350
Magnesium (mg),22
Sodium (mg),3
Salt (g),0.01
Selenium (�g),0
Zinc (mg),0.18
Waste (e.g. peel) (%),0
